date,open,high,low,volume,close
09/09/2013 10:24:37,1662.25,1662.25,1661,21451,1661.25
09/09/2013 10:31:11,1661.25,1662.5,1661.25,21400,1662.25
09/09/2013 10:36:15,1662.25,1663,1661.75,21488,1662.25
09/09/2013 10:41:24,1662.25,1664.25,1662,21431,1664
09/09/2013 10:49:31,1664,1664.5,1663.5,21423,1664
09/09/2013 10:57:52,1664,1664.75,1663.5,21418,1664
09/09/2013 11:05:31,1664,1665,1663.5,21393,1664.75
09/09/2013 11:12:55,1664.75,1666,1664.25,21433,1665.75
09/09/2013 11:15:53,1665.75,1667,1665.75,21370,1666.75
09/09/2013 11:29:57,1666.75,1667,1665.75,21411,1666.5
09/09/2013 11:37:24,1666.5,1666.75,1665,21387,1665.25
09/09/2013 11:49:02,1665.25,1666,1665.25,21406,1665.75
09/09/2013 12:07:43,1665.75,1666.75,1665.25,21404,1665.75
09/09/2013 12:24:00,1665.75,1666.5,1665.25,21397,1666
09/09/2013 12:38:20,1666,1667,1665.5,21392,1666.5
09/09/2013 12:48:08,1666.5,1667.75,1665.75,21386,1667
09/09/2013 13:00:08,1667,1668.5,1666.75,21371,1668.5
09/09/2013 13:04:17,1668.5,1669.75,1668.25,21351,1669.25
09/09/2013 13:16:05,1669.25,1669.75,1668.75,21364,1669.5
09/09/2013 13:19:31,1669.5,1671,1669.5,21340,1671
09/09/2013 13:22:07,1671,1671.75,1670.75,21327,1671
09/09/2013 13:26:18,1671,1671.25,1670.5,21047,1670.75
09/09/2013 13:36:10,1670.75,1671,1670.25,21622,1670.25
09/09/2013 13:44:58,1670.25,1670.5,1669.5,21337,1670.25
09/09/2013 13:57:09,1670.25,1670.5,1669.75,21350,1670.25
09/09/2013 14:09:06,1670.25,1670.5,1669,21344,1670
09/09/2013 14:17:52,1670,1671,1669.75,21335,1671
09/09/2013 14:25:04,1671,1671.5,1669.25,21333,1669.5
09/09/2013 14:35:17,1669.5,1670.75,1669,21355,1670
09/09/2013 14:43:10,1670,1670.25,1669,21352,1669
09/09/2013 14:51:46,1669,1670.25,1668.75,21348,1670
09/09/2013 14:57:33,1670,1670.5,1669.5,21344,1670
09/09/2013 14:59:39,1670.25,1670.75,1670,21270,1670.25
09/09/2013 15:00:01,1670.25,1670.75,1670,21396,1670.5
09/09/2013 15:00:56,1670.5,1671,1670.25,21337,1670.75
09/09/2013 15:04:39,1670.75,1671.25,1670.75,21315,1670.75
09/09/2013 15:11:15,1670.75,1671,1669.5,21261,1669.5
09/09/2013 15:14:35,1669.5,1669.75,1668.25,21462,1669
09/09/2013 17:40:08,1669,1672.25,1669,21327,1672
09/09/2013 22:53:46,1672,1672.25,1669,21349,1670
09/10/2013 2:00:46,1670,1673.5,1669.5,21322,1672.75
09/10/2013 2:45:12,1672.75,1675.25,1671.5,21299,1675.25
09/10/2013 3:07:36,1675.25,1677.25,1675.25,21266,1676.25
09/10/2013 4:21:06,1676.5,1677.75,1675.75,21255,1676
09/10/2013 5:46:38,1676,1678.5,1675.75,21254,1678
09/10/2013 6:18:23,1678,1679,1677,21241,1679
09/10/2013 6:36:53,1679,1680.5,1678,21229,1680.5
09/10/2013 6:54:39,1680.5,1681.25,1679.5,21211,1680
09/10/2013 7:27:28,1680,1680.75,1679.25,21217,1679.75
09/10/2013 7:53:57,1679.75,1680.75,1678.75,21212,1679.25
