Date,Liquid Alternative Beta Index,Event Driven Liquid Index,Global Strategies Liquid Index,Long/Short Liquid Index,Managed Futures Liquid Index,Merger Arbitrage Liquid Index
2003/03/22,576.196853382225,560.34665513389,562.289086870208,578.35889087745,437.877835020436,642.184615422491
2003/03/21,575.508777740496,559.830592739957,560.772380623063,575.216797416061,436.322312351674,646.72613118471
2003/03/20,574.404119621034,568.237761045828,561.270491426611,577.696827198176,442.751278192385,647.465992596727
2003/03/19,573.059643553255,571.941886634494,562.273145196228,574.525285100316,444.505200590102,647.305112164213
2003/03/18,576.974709152153,573.124511587858,562.826673603537,572.755475426452,451.755278979119,650.347268760042
2003/03/17,576.571494988009,570.913479273444,567.265780222654,574.115977940085,456.961053442382,650.988199608771
2003/03/16,575.356065849515,569.574132357175,567.066058475047,574.48594345901,459.599872341161,648.353780439125
2003/03/15,573.146441182183,570.665166005404,563.662615347033,573.223259649941,462.248572854308,649.644552935727
2003/03/14,574.090101760826,571.363923781709,565.186584220086,573.896990970054,461.688919700524,652.447853842054
2003/03/13,574.441944336214,571.380977359584,566.555199847853,574.23508532817,463.134465553934,652.253867233408
2003/03/12,572.690091301376,568.487363182351,566.429141321884,573.328228713671,475.910581587829,653.600711462556
2003/03/11,574.040827328359,565.373162442817,565.100470810041,574.462205562339,477.389121635619,651.805646203226
2003/03/10,577.602420677118,568.671263422092,565.501248164191,571.972949575465,479.994860088542,655.587904736464
2003/03/09,577.977400594784,567.870889639291,565.040130191469,574.30446216774,480.418376990027,656.144914344558
2003/03/08,577.127625254898,569.511445544493,565.231246802253,571.114400147261,481.844020648621,657.442637775014
2003/03/07,575.922091152462,568.478646973797,566.671486887743,575.286845943079,478.802374597446,656.966262741357
2003/03/06,573.839483103775,567.640114303172,565.887654994379,573.111603276891,477.925443038351,651.787329423305
2003/03/05,578.733967874016,568.383484674668,565.893529521843,574.516076133938,473.03390340379,658.464708985592
2003/03/04,573.000124472431,566.362061968328,565.991624377289,574.163740582528,468.879418798601,655.757934418321
2003/03/03,577.729990812202,564.005353546381,567.286197216573,575.000817554769,467.656858789604,654.497120897196
2003/03/02,574.943472018532,567.883791808838,565.964112117432,573.775174147624,466.196670920543,659.159851830031
2003/03/01,572.378860338436,565.189623484767,569.271414705827,575.843330839057,465.470420972006,657.270002315868
2003/02/28,575.697185086163,566.922478599485,568.442911639487,575.814289584553,466.594187191924,656.21718292713
2003/02/27,573.036907029229,564.310100184751,565.482533776185,574.00817007072,465.252717685435,654.949470989455
2003/02/26,574.565149014575,565.578862417155,568.222416191731,573.009742307947,471.648166037903,654.901095034589
2003/02/25,575.079770861571,561.788850333828,563.42673525468,575.056519172099,467.288498512703,654.647334618866
2003/02/24,573.038331294187,559.961802288049,570.638633384068,574.739356762904,468.312144040299,658.121774690265
2003/02/23,572.116784236167,562.649628040261,564.998359356431,575.209956018438,459.731018989983,660.445424266578
2003/02/22,572.696607040353,560.339790767641,567.59302312981,576.545300878573,459.50850830888,656.192091840148
2003/02/21,572.713676510139,564.845946205417,567.349527484061,575.524915540649,461.898538510399,655.137464838225
2003/02/20,576.574257960731,560.478367208519,566.928415879555,574.718795161349,460.328630930184,658.383955945854
2003/02/19,576.024514456078,561.10467633519,567.519864494008,573.350338243993,460.146396439003,654.939866670917
2003/02/18,574.8071691054,563.496235109511,565.238924540491,575.21770175689,454.180379665026,656.115157873246
2003/02/17,571.719128531308,560.835151180761,563.207576766063,573.523792626356,457.755865118438,653.007000143409
